Country,CapacityMw,EstimatedGenerationGwh
ZWE,1670,9828
ZMB,2641.837,14452
ZAF,49456.3,252388
YEM,1045,7646
VNM,39134.09,140913
VEN,31096,109827
UZB,12718,55400
USA,1183855.55,4339210
URY,4209.12,13011
UKR,47320,180910
TZA,994.5,6179
TWN,36409.56,255791
TUR,49482.1,250531
TUN,5052.2,18483
TTO,2144.6,9891
TKM,3454,20400
TJK,5296.4,16000
THA,39016.1,171592
TGO,195.114,137
SYR,7966,21726
SWE,26338.7,149766
SVN,2736,16869
SVK,6206.86,24936
SRB,7958,33783
SLV,1148.5,5784
SGP,13660,48647
SEN,590.46,3440
SDN,2798.11,11376
SAU,84218.55,311806
RUS,182752,963355
ROU,14121,63069
QAT,10548,38692
PRY,8760,55276
PRT,14191.764,51438
PRK,8808,17322
POL,32249,158860
PHL,18114.1,77196
PER,7271.6,43676
PAN,1605.3,9139
PAK,19857.6,105305
OMN,4872,28371
NZL,6674.55,42868
NPL,557.95,3789
NOR,32551,141453
NLD,16643.59,93830
NIC,850.8,3106
NGA,6250,30390
NER,160.2,686
NAM,430.5,1498
MYS,24765.5,147469
MUS,892.369,2931
MOZ,2285,16175
MNG,590,5134
MNE,885.5,3174
MMR,3937.1,14092
MKD,1362.6,4944
MEX,59700.5,301419
MDA,2914,5322
MAR,9341.56,29142
LVA,2537,4331
LUX,1681,2621
LTU,3490.8,2837
LKA,3695.7,12420
LBY,6231,37731
LBN,2070.3,17759
KWT,17819.5,65140
KOS,1478,5270
KOR,93391.78,549440
KMH,1229.8,3056
KGZ,3634,14455
KEN,2430.2,9121
KAZ,17369.5,104031
JPN,210594.75,1011748
JOR,4136,18154
JAM,772.5,3976
ITA,71046.96,258641
ISR,12537.1,60433
ISL,2484.6,18111
IRQ,18160.6,67768
IRN,61288.1,274032
IRL,7522.15,26180
IND,225489.651,1285862
IDN,42076.418,227587
HUN,6083.7,26061
HRV,3274.5,12624
HND,1880.97,7997
GTM,3659.1,10725
GRC,14739.55,50254
GEO,3831.4,10371
GBR,77669.3,338923
GAB,446.81,2355
FRA,109333.3289,557930
FIN,11626.76,67266
ETH,4023.9,9606
EST,2541.9,716
ESP,76102.068,278750
ERI,133.19,368
EGY,33424,45324
ECU,4195.48,23812
DZA,15203,63079
DOM,1775.69,18541
DNK,7886.3,30559
DEU,108429.7749,627697
CYP,1468,4033
CUB,3787.8,18605
CRI,1963.4,9298
COL,10139,67719
COG,625.9,1740
COD,3057.04,8831
CMR,881.58,6850
CIV,1203,7708
CHL,18984.77117,73428
CHE,13097.8,67258
CAN,143455.2,655944
BWA,746,2263
BRN,586,4461
BRA,145788.4713,590632
BOL,1502.52,8379
BLR,8302,34042
BIH,3985.5,16086
BHR,7581.3,27253
BGR,8043,43666
BGD,11807,55696
BEN,60.5,183
BEL,13288.6,67323
AZE,5764,24549
AUT,11227.1,54075
AUS,66193.79,248298
ARM,3271,7746
ARG,32400.579,138806
ARE,29607,108506
ALB,1529,4724
AGO,1071.18,9480
